source_file,median_last_10_years,median_first_10_years,difference
SH_MTX189295001.csv,16.3,15.8,0.5
SH_MTX189333001.csv,16.0,15.350000000000001,0.6499999999999986
SH_MTX190035001.csv,14.9,14.350000000000001,0.5499999999999989
SH_MTX203204001.csv,17.4,16.7,0.6999999999999993
SH_MTX211069001.csv,19.4,18.05,1.3499999999999979
SH_MTX211076001.csv,19.3,17.95,1.3500000000000014
SH_MTX213001009.csv,20.1,19.4,0.7000000000000028
SH_MTX213047001.csv,20.2,19.4,0.8000000000000007
SH_MTX213054001.csv,20.3,19.7,0.6000000000000014
SH_MTX214578001.csv,15.1,14.0,1.0999999999999996
SH_MTX216089001.csv,18.7,17.7,1.0
SH_MTX216113001.csv,18.9,17.7,1.1999999999999993
SH_MTX218092001.csv,16.6,16.0,0.6000000000000014
SH_MTX218223003.csv,17.7,16.6,1.0999999999999979
SH_MTX225021001.csv,17.3,16.4,0.9000000000000021
SH_MTX226198001.csv,19.0,17.95,1.0500000000000007
SH_MTX227306001.csv,16.0,15.0,1.0
SH_MTX228195001.csv,16.9,15.9,0.9999999999999982
SH_MTX228198001.csv,16.5,15.7,0.8000000000000007
SH_MTX228322001.csv,16.3,15.4,0.9000000000000004
SH_MTX228363001.csv,16.7,15.8,0.8999999999999986
SH_MTX229082001.csv,14.9,14.0,0.9000000000000004
SH_MTX230189001.csv,20.8,19.8,1.0
SH_MTX231157001.csv,19.2,17.95,1.25
SH_MTX231403002.csv,20.0,18.5,1.5
SH_MTX234154001.csv,19.9,19.2,0.6999999999999993
SH_MTX234301002.csv,19.0,18.1,0.8999999999999986
SH_MTX235281001.csv,16.7,16.0,0.6999999999999993
SH_MTX237179001.csv,16.7,16.0,0.6999999999999993
SH_MTX239159002.csv,17.1,16.2,0.9000000000000021
SH_MTX240088001.csv,20.0,18.55,1.4499999999999993
SH_MTX240192001.csv,20.0,18.9,1.1000000000000014
SH_MTX240304001.csv,20.1,19.0,1.1000000000000014
SH_MTX241097001.csv,17.8,16.7,1.1000000000000014
SH_MTX242005001.csv,17.0,16.0,1.0
SH_MTX243046001.csv,15.5,14.9,0.5999999999999996
SH_MTX244020001.csv,17.1,16.4,0.7000000000000028
SH_MTX245069001.csv,16.6,15.7,0.9000000000000021
SH_MTX246127001.csv,18.9,17.65,1.25
SH_MTX247091001.csv,19.6,18.4,1.2000000000000028
SH_MTX249027001.csv,16.7,15.9,0.7999999999999989
SH_MTX249328001.csv,18.2,17.35,0.8499999999999979
SH_MTX250020001.csv,13.9,13.1,0.8000000000000007
